Proximity,City,Year,Last,First
Coastal,Buffalo,1991,102,273
Inland,Warsaw,2000,119,273
Inland,Warren (OH),2000,121,273
Inland,Jamestown,2000,122,273
Inland,Warren (PA),1951,134,273
Inland,Warren (OH),1951,134,273
Inland,Franklin,1951,135,273
Inland,Titusville,2000,137,273
Inland,Warsaw,1981,139,273
Inland,Warren (OH),1949,149,273
Inland,Jamestown,1978,123,272
Inland,Warren (PA),1978,125,272
Inland,Warren (OH),1978,129,272
Inland,Jamestown,1951,134,272
Inland,Jamestown,1969,147,272
Inland,Jamestown,1961,150,272
Inland,Warsaw,1961,150,272
Inland,Warren (OH),1961,150,272
Inland,Titusville,1978,166,272
Inland,Jamestown,1991,108,271
Inland,Titusville,1991,114,271
Inland,Franklin,1965,119,271
Coastal,Buffalo,1957,123,271
Inland,Warsaw,1991,124,271
Inland,Warren (OH),1952,124,271
Inland,Warsaw,1980,137,271
Inland,Warren (OH),1957,126,270
Inland,Warren (OH),1989,127,270
Inland,Titusville,1989,128,270
Inland,Franklin,1957,128,270
Inland,Warren (PA),1957,137,270
Inland,Jamestown,1957,137,270
Inland,Titusville,1969,147,270
Inland,Titusville,1965,155,270
Inland,Warsaw,1978,125,269
Inland,Warren (PA),1976,134,269
Inland,Warren (PA),1985,138,269
Inland,Jamestown,1948,145,269
Inland,Warsaw,1966,149,269
Inland,Titusville,1952,151,269
Inland,Warren (PA),1983,138,268
Inland,Warsaw,1976,140,268
Inland,Jamestown,1976,144,268
Inland,Franklin,1963,144,268
Inland,Warsaw,1992,146,268
